Dia;Dia_semana;Tipo
2022-01-01;sabado;Festivo
2022-01-02;domingo;domingo
2022-01-03;lunes;laborable
2022-01-04;martes;laborable
2022-01-05;miercoles;laborable
2022-01-06;jueves;Festivo
2022-01-07;viernes;laborable
2022-01-08;sabado;sabado
2022-01-09;domingo;domingo
2022-01-10;lunes;laborable
2022-01-11;martes;laborable
2022-01-12;miercoles;laborable
2022-01-13;jueves;laborable
2022-01-14;viernes;laborable
2022-01-15;sabado;sabado
2022-01-16;domingo;domingo
2022-01-17;lunes;laborable
2022-01-18;martes;laborable
2022-01-19;miercoles;laborable
2022-01-20;jueves;laborable
2022-01-21;viernes;laborable
2022-01-22;sabado;sabado
2022-01-23;domingo;domingo
2022-01-24;lunes;laborable
2022-01-25;martes;laborable
2022-01-26;miercoles;laborable
2022-01-27;jueves;laborable
2022-01-28;viernes;laborable
2022-01-29;sabado;sabado
2022-01-30;domingo;domingo
2022-01-31;lunes;laborable
2022-02-01;martes;laborable
2022-02-02;miercoles;laborable
2022-02-03;jueves;laborable
2022-02-04;viernes;laborable
2022-02-05;sabado;sabado
2022-02-06;domingo;domingo
2022-02-07;lunes;laborable
2022-02-08;martes;laborable
2022-02-09;miercoles;laborable
2022-02-10;jueves;laborable
2022-02-11;viernes;laborable
2022-02-12;sabado;sabado
2022-02-13;domingo;domingo
2022-02-14;lunes;laborable
2022-02-15;martes;laborable
2022-02-16;miercoles;laborable
2022-02-17;jueves;laborable
2022-02-18;viernes;laborable
2022-02-19;sabado;sabado
2022-02-20;domingo;domingo
2022-02-21;lunes;laborable
2022-02-22;martes;laborable
2022-02-23;miercoles;laborable
2022-02-24;jueves;laborable
2022-02-25;viernes;laborable
2022-02-26;sabado;sabado
2022-02-27;domingo;domingo
2022-02-28;lunes;laborable
2022-03-01;martes;laborable
2022-03-02;miercoles;laborable
2022-03-03;jueves;laborable
2022-03-04;viernes;laborable
2022-03-05;sabado;sabado
2022-03-06;domingo;domingo
2022-03-07;lunes;laborable
2022-03-08;martes;laborable
2022-03-09;miercoles;laborable
2022-03-10;jueves;laborable
2022-03-11;viernes;laborable
2022-03-12;sabado;sabado
2022-03-13;domingo;domingo
2022-03-14;lunes;laborable
2022-03-15;martes;laborable
2022-03-16;miercoles;laborable
2022-03-17;jueves;laborable
2022-03-18;viernes;laborable
2022-03-19;sabado;sabado
2022-03-20;domingo;domingo
2022-03-21;lunes;laborable
2022-03-22;martes;laborable
2022-03-23;miercoles;laborable
2022-03-24;jueves;laborable
2022-03-25;viernes;laborable
2022-03-26;sabado;sabado
2022-03-27;domingo;domingo
2022-03-28;lunes;laborable
2022-03-29;martes;laborable
2022-03-30;miercoles;laborable
2022-03-31;jueves;laborable
2022-04-01;viernes;laborable
2022-04-02;sabado;sabado
2022-04-03;domingo;domingo
2022-04-04;lunes;laborable
2022-04-05;martes;laborable
2022-04-06;miercoles;laborable
2022-04-07;jueves;laborable
2022-04-08;viernes;laborable
2022-04-09;sabado;sabado
