Dia,hora,estacion,afluencia
2022-01-01,0,Avenida Alfonso XIII,185
2022-01-01,1,Avenida Alfonso XIII,148
2022-01-01,2,Avenida Alfonso XIII,455
2022-01-01,3,Avenida Alfonso XIII,333
2022-01-01,4,Avenida Alfonso XIII,177
2022-01-01,5,Avenida Alfonso XIII,93
2022-01-01,6,Avenida Alfonso XIII,97
2022-01-01,7,Avenida Alfonso XIII,91
2022-01-01,8,Avenida Alfonso XIII,121
2022-01-01,9,Avenida Alfonso XIII,129
2022-01-01,10,Avenida Alfonso XIII,151
2022-01-01,11,Avenida Alfonso XIII,193
2022-01-01,12,Avenida Alfonso XIII,222
2022-01-01,13,Avenida Alfonso XIII,295
2022-01-01,14,Avenida Alfonso XIII,424
2022-01-01,15,Avenida Alfonso XIII,539
2022-01-01,16,Avenida Alfonso XIII,312
2022-01-01,17,Avenida Alfonso XIII,232
2022-01-01,18,Avenida Alfonso XIII,321
2022-01-01,19,Avenida Alfonso XIII,397
2022-01-01,20,Avenida Alfonso XIII,472
2022-01-01,21,Avenida Alfonso XIII,381
2022-01-01,22,Avenida Alfonso XIII,290
2022-01-01,23,Avenida Alfonso XIII,242
2022-01-01,0,Avenida Arcentales,110
2022-01-01,1,Avenida Arcentales,435
2022-01-01,2,Avenida Arcentales,285
2022-01-01,3,Avenida Arcentales,173
2022-01-01,4,Avenida Arcentales,93
2022-01-01,5,Avenida Arcentales,98
2022-01-01,6,Avenida Arcentales,175
2022-01-01,7,Avenida Arcentales,110
2022-01-01,8,Avenida Arcentales,103
2022-01-01,9,Avenida Arcentales,63
2022-01-01,10,Avenida Arcentales,111
2022-01-01,11,Avenida Arcentales,162
2022-01-01,12,Avenida Arcentales,212
2022-01-01,13,Avenida Arcentales,295
2022-01-01,14,Avenida Arcentales,340
2022-01-01,15,Avenida Arcentales,247
2022-01-01,16,Avenida Arcentales,186
2022-01-01,17,Avenida Arcentales,299
2022-01-01,18,Avenida Arcentales,296
2022-01-01,19,Avenida Arcentales,306
2022-01-01,20,Avenida Arcentales,241
2022-01-01,21,Avenida Arcentales,199
2022-01-01,22,Avenida Arcentales,225
2022-01-01,23,Avenida Arcentales,160
2022-01-01,0,Avenida Brasilia,291
2022-01-01,1,Avenida Brasilia,284
2022-01-01,2,Avenida Brasilia,673
2022-01-01,3,Avenida Brasilia,604
2022-01-01,4,Avenida Brasilia,324
2022-01-01,5,Avenida Brasilia,252
2022-01-01,6,Avenida Brasilia,251
2022-01-01,7,Avenida Brasilia,209
2022-01-01,8,Avenida Brasilia,594
2022-01-01,9,Avenida Brasilia,155
2022-01-01,10,Avenida Brasilia,521
2022-01-01,11,Avenida Brasilia,170
2022-01-01,12,Avenida Brasilia,382
2022-01-01,13,Avenida Brasilia,536
2022-01-01,14,Avenida Brasilia,774
2022-01-01,15,Avenida Brasilia,1298
2022-01-01,16,Avenida Brasilia,1092
2022-01-01,17,Avenida Brasilia,863
2022-01-01,18,Avenida Brasilia,823
2022-01-01,19,Avenida Brasilia,993
2022-01-01,20,Avenida Brasilia,901
2022-01-01,21,Avenida Brasilia,701
2022-01-01,22,Avenida Brasilia,488
2022-01-01,23,Avenida Brasilia,409
2022-01-01,0,Avenida Cardenal Herrera Oria,143
2022-01-01,1,Avenida Cardenal Herrera Oria,296
2022-01-01,2,Avenida Cardenal Herrera Oria,536
2022-01-01,3,Avenida Cardenal Herrera Oria,338
2022-01-01,4,Avenida Cardenal Herrera Oria,161
2022-01-01,5,Avenida Cardenal Herrera Oria,71
2022-01-01,6,Avenida Cardenal Herrera Oria,76
2022-01-01,7,Avenida Cardenal Herrera Oria,94
2022-01-01,8,Avenida Cardenal Herrera Oria,129
2022-01-01,9,Avenida Cardenal Herrera Oria,105
2022-01-01,10,Avenida Cardenal Herrera Oria,142
2022-01-01,11,Avenida Cardenal Herrera Oria,166
2022-01-01,12,Avenida Cardenal Herrera Oria,258
2022-01-01,13,Avenida Cardenal Herrera Oria,457
2022-01-01,14,Avenida Cardenal Herrera Oria,590
2022-01-01,15,Avenida Cardenal Herrera Oria,613
2022-01-01,16,Avenida Cardenal Herrera Oria,278
2022-01-01,17,Avenida Cardenal Herrera Oria,275
2022-01-01,18,Avenida Cardenal Herrera Oria,386
2022-01-01,19,Avenida Cardenal Herrera Oria,489
2022-01-01,20,Avenida Cardenal Herrera Oria,475
2022-01-01,21,Avenida Cardenal Herrera Oria,416
2022-01-01,22,Avenida Cardenal Herrera Oria,363
2022-01-01,23,Avenida Cardenal Herrera Oria,224
2022-01-01,0,Avenida General Perón,259
2022-01-01,1,Avenida General Perón,1077
2022-01-01,2,Avenida General Perón,591
2022-01-01,3,Avenida General Perón,321
2022-01-01,4,Avenida General Perón,282
2022-01-01,5,Avenida General Perón,188
2022-01-01,6,Avenida General Perón,306
2022-01-01,7,Avenida General Perón,272
2022-01-01,8,Avenida General Perón,173
2022-01-01,9,Avenida General Perón,153
2022-01-01,10,Avenida General Perón,198
2022-01-01,11,Avenida General Perón,250
2022-01-01,12,Avenida General Perón,371
2022-01-01,13,Avenida General Perón,669
2022-01-01,14,Avenida General Perón,647
2022-01-01,15,Avenida General Perón,347
2022-01-01,16,Avenida General Perón,358
2022-01-01,17,Avenida General Perón,522
2022-01-01,18,Avenida General Perón,600
2022-01-01,19,Avenida General Perón,660
2022-01-01,20,Avenida General Perón,588
2022-01-01,21,Avenida General Perón,457
2022-01-01,22,Avenida General Perón,365
2022-01-01,23,Avenida General Perón,314
2022-01-01,0,Avenida Menéndez Pelayo,231
2022-01-01,1,Avenida Menéndez Pelayo,732
2022-01-01,2,Avenida Menéndez Pelayo,543
2022-01-01,3,Avenida Menéndez Pelayo,360
2022-01-01,4,Avenida Menéndez Pelayo,271
2022-01-01,5,Avenida Menéndez Pelayo,216
2022-01-01,6,Avenida Menéndez Pelayo,237
2022-01-01,7,Avenida Menéndez Pelayo,159
2022-01-01,8,Avenida Menéndez Pelayo,106
2022-01-01,9,Avenida Menéndez Pelayo,155
2022-01-01,10,Avenida Menéndez Pelayo,214
2022-01-01,11,Avenida Menéndez Pelayo,337
2022-01-01,12,Avenida Menéndez Pelayo,585
2022-01-01,13,Avenida Menéndez Pelayo,784
2022-01-01,14,Avenida Menéndez Pelayo,724
2022-01-01,15,Avenida Menéndez Pelayo,433
2022-01-01,16,Avenida Menéndez Pelayo,552
2022-01-01,17,Avenida Menéndez Pelayo,838
2022-01-01,18,Avenida Menéndez Pelayo,942
